㐀	丘
憀	𢟺
憁	愡 𢛌
憂	忧 懮 𠪍 𨗫
憅	慟 𮲄
憇	憩
憊	惫
憋	𢠳
憍	㤭
憐	㥕 怜 憐
憑	凭 凴 慿 𠗦
憒	愦
憔	顦
憖	慭
憘	喜
憙	喜
憚	惮
憝	懟 譈 𢥲
憢	𢙒
憣	𢟷
憤	愤
憦	𫺘
憨	𤺍
憩	憇
憪	𰑥
憫	悯 愍
憮	怃
憯	㦧 𢡚
憰	譎
憲	宪
憴	𰑪
憶	忆
憸	𪫺
憹	𢙐
懀	𢙓
懁	悁
懃	勤
懅	𢟶
懇	恳
懈	𢢣
應	应 応 硬
懌	怿
懍	懔 𢤭
懎	𢠁
懐	懷
懑	懣
懒	懶
懓	𭞄
懔	凛 懍
懕	𰑕
懘	𰒒
懙	𫹮
懜	懵 𢟼
懞	蒙
懟	怼 憝 譈
懠	𫺊
懣	㥃 悶 懑
懤	㤽
懥	懫
懧	㤖
懨	恹
懩	𫺪
懫	懥 𡏸 𡒐 𰑬
懭	𰐾
懮	憂
懰	𰑙
懲	惩
懴	懺
懵	懜
懶	懒
懷	怀 怌 褱
懸	悬
懺	忏 懴
懼	惧 愳 𢡔
懽	欢 歡
懾	慑
戀	恋 戀 𤕈
戁	𫺷
戃	𰑿
戅	戇
戆	戇
戇	戅 戆
戉	鉞
戋	戔
戏	戲
成	𢦩
我	𠨂 𢦓 𢦠
戒	𢦬
戔	戋
或	𢈿
戗	戧
战	戰
戚	慼
戛	戞
戝	賊
戞	戛
戟	屰
戠	只
戦	戰
戧	創 戗
戩	戬
戬	戩
戮	戮 𡠢 𣩍 𦐱
戯	戱 戲
戰	战 戦 𢧐
戱	戯 戲
戲	呼 戏 戯 戱
戴	𢨇
戶	㦿 户 戸 𣥘
户	戶 戸
戸	戶 户
戹	厄
戻	戾
戼	卯
戽	𢨦
戾	戻 盭 𤡵
所	𢨷
扁	碥 艑 𡲜
扃	𢇺
扅	扊 𢨹
扇	煽
扈	𡴱
扊	扅
手	扌 𠂿
扌	手
才	哉 纔 財
扎	紮
扏	㧨
扐	朸
扑	撲
払	拂
托	拓 託
扛	摃
扞	捍 擀
扠	搋 𢹓
扣	釦
扦	𢳍
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扯	撦
扰	擾
扱	插
扳	攀
扵	于 亏 於
扶	𢱿 𢻳
扺	抵
扻	損
扼	㧖 搤
承	𢪐
抃	拚
抅	拘
抉	刔
抌	舀
抍	基 拯
投	𢫹
抗	亢
折	拃 摺 翼
抚	撫
抛	拋
抜	拔
抝	拗
択	擇
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
抩	𢪈
披	㓟 翍
抬	擡
抱	抔
抵	扺 牴 𠥯
抻	伸
抽	𢭆
抿	㨉
拂	払
拃	折 拶
担	擔
拆	責
拇	𧿹
拈	敁
拉	拉
拊	撫
拋	抛
拏	拿 挐 拏 𢜲
拐	柺
拓	托 摕 摭 拓
拔	抜
拕	拖
拖	拕
拗	抝
拘	抅
拙	䂐
拚	帆 抃
拜	拝 𡴬 𢰛 𢴽 𣬊 𣬓
拝	拜
拟	擬
拠	據
拡	擴
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
拪	迻 遷
拭	𢂑
拮	𢮌
拯	基 抍
拳	㩲 𢮙
拴	揎
拶	拃
拼	摒 秉
拽	曳
拾	十
拿	拏 挐 拏
挂	掛
挃	𥡫
挅	挆
挆	挅
指	𢫾
按	搵
挊	弄
挐	拏 拿
挑	𢬹
挒	𢴴
挙	舉 𢸁
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挢	撟
挣	掙
挤	擠
挥	揮
挦	撏
挨	捱
挩	捝
挫	繲
挭	骾 鯁
挱	挲
挲	挱
挷	搒
挸	𢹕
挼	捼
挽	掇 輓
挾	挟
挿	插 揷
捆	綑
捉	杓
捊	㩠
捌	八
捍	扞
捏	揑
捓	揶
捜	搜
捝	挩
捞	撈
损	損
捡	撿
换	換
捣	搗
捦	擒
捨	舍
捫	扪
捬	撫
捭	𢬽
据	據
捱	挨
捲	卷
捴	摠 總
捵	䥀
捶	搥 箠
捷	㨗
捻	捻
捼	挼
捽	𢪄
掁	𰓄
掂	敁
掃	埽 扫
掄	抡
掆	㧏
掇	挽
掉	棹 櫂
掌	𤓯
掏	搯
掐	𠜼
掗	挜
掘	撅
掙	挣
掚	𪭵
掛	挂
掜	揑
掠	㨼 掠
採	采
掩	揜 揞
掬	匊
掲	揭
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掻	搔
掼	摜
掽	碰
揀	拣
揃	𢶕
揅	研
揌	顋
揎	拴
揑	捏 掜
插	扱 挿 揷
揚	扬 敭 𠭲
換	换
揜	掩
揝	撍 攢
揞	掩
握	𦥆
揣	𢭍
揦	攋
揪	揫
揫	揪
揭	掲 結
揮	挥 𢱳
揯	搄
揲	𢮕
揶	捓
揷	挿 插
揸	摣 楂
揺	搖 摇
揽	攬
揾	搵
揿	撳
搀	攙
搁	擱
搂	摟
搃	摠 總
搄	揯
搅	攪
搆	構
搇	撳
搉	㩁
搊	𫼝
搋	𢯯 𢲽
損	扻 损
搎	𰓧
搒	挷
搔	掻
搖	揺 摇
搗	捣 擣
搜	捜 蒐 𢯱 𢲷
搞	攪
搤	㧖 扼
搥	捶
搧	煽
搨	搭
搪	傏
搫	搬
搬	搫
搭	搨 撘
搯	掏
搵	按 揾
搶	抢
携	攜
摀	𰓆
摁	恩
摂	攝
摃	扛 𫼱
摄	攝
摅	攄
摆	擺 襬
摇	揺 搖
摈	擯
摊	攤
摋	𢫬
摐	𪭢
摑	掴 𢧷
摒	屏 拼
摔	甩
摕	拓 𰔇
摙	𫽁
摜	掼
摟	搂
摠	捴 搃 總 𢰾
摡	溉 𢷽
摣	揸
摩	擵 𢳀
摪	𫽣
摫	𰓻
摭	拓
摮	𢳆
摯	挚
摱	𢶔
摲	𰓼
摳	抠
摴	舒
摶	抟
摹	𢸆
摺	折
摻	掺 撡
摼	牽 𰓱
摽	𢹰
撂	㨼
撃	擊
撄	攖
撅	掘
撆	撇
撇	撆
撈	捞
撊	𪭾
撋	𰓷
撌	𰔋
撍	揝 攢
撏	挦
撐	撑
撑	撐
撒	攃
撓	挠
撘	搭
撚	撚
撝	㧑
撟	嬌 挢
撡	摻
撢	撣
撣	掸 撢
撥	拨
撦	扯
撧	𪮖
撫	抚 拊 捬 𨑟
播	𢿥 𨤏
撯	擆
撲	扑 攴
撳	揿 搇
撵	攆
撶	𫼧
撷	擷
撸	擼
撹	攪
撺	攛
撻	挞 𢽞 𨘈
撽	擊
撾	挝
撿	捡
擀	扞
擁	拥
擃	攮 𫼮
擄	掳 虜 擄
擆	撯
擇	択 择
擈	𭠙
擊	击 撃 撽
擋	挡 攩 𫽮
擒	捦
擓	㧟
擔	担
擗	劈
據	拠 据
擜	㩵
擞	擻
擟	𪭧
擠	挤
擡	抬
擣	捣 搗 𢭏
擥	㧛 㩜 攬 𢱯
擧	舉 𢪓
擪	𰓙
擫	𢬍
擬	儗 拟
擯	摈
擰	拧
擱	搁
擲	掷 擿
擳	𰓜
擴	扩
擵	摩
擷	撷
擸	㧜 𢴫
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
擿	擲
攀	㐴 扳
攃	撒
攄	摅
攅	攢
攆	撵
攋	揦 𪮶
攎	𢫘
攏	拢
攑	𫽥
攒	攢
攔	拦
攕	㩥
攖	撄
攘	𣀮
攙	搀
攛	撺
攜	㩗 携
攝	摂 摄
攞	𫽋
攢	揝 撍 攅 攒
攣	挛
攤	摊
攦	𰓬
攧	𭣇
攩	擋 𫽮
攪	搅 搞
攬	㩜 揽 擥
攮	擃
支	𠦙 𢺶
攳	𰕁
攴	撲 攵 𢪊
攵	夊 攴
收	㧃 収
攷	考
放	匸
敁	拈 掂
敃	暋
效	効
敉	侎
敌	敵
敍	叙 敘
敎	教 𤕝 𧧿
敏	勄
救	𣪋
敓	敚
敕	勅 勑
敗	䢙 貝 贁 败 𤖐
敘	叙 敍
教	敎
敚	敓
敛	斂
敠	敪
敢	𠭖 𢽤 𣪏
散	枚
敦	惇 𠊋 𠧉 𢼪
敩	斅 斆
敪	敠
敬	𢿩 𣀖
敭	揚
数	數
敲	䯨
敳	𮲔
整	愸
敵	敌
敶	陳
敷	尃 旉
數	数
敺	驅 𰕅
敽	敿
敿	敽 𰕈
斁	𤢕 𭣧
斂	敛
斃	毙
斄	𠩬 𭤎
斅	斆 𢽾
斆	敩 斅 鏰
文	㒚 穩
斈	學
斉	齊
斋	齊 齋
斌	彬
斍	覺
斎	齋
斓	斕
斕	斓
斗	㪷 鬥 𣂑
斚	斝
斝	斚 檟
斞	㔱 庾
斤	觔
斥	㡿
斩	斬
斬	斩
断	斷
斮	𢧉
斯	𣂕
新	𢀝
斲	㓸 斵 𨮕
斵	斲
斷	㫁 断 𠜷 𠝅 𣂢
斸	𣃁
方	𤙗
於	于 亏 扵 烏 𣱏 𤕘
施	𠇜 𠤒 𢒃
斾	旆
旁	㝑 傍 𣃙 𣃟
旂	旗
旃	𣃼
旅	魯 旅 𣃨 𣥏 𣥐
旆	斾
旈	旒
旉	尃 敷
旋	鏇 𢭀
族	㞺 𥎩 𥎼 𥏁
旒	旈
旗	旂
旘	幟
旚	𣄔
旛	幡
旝	𰕭
旟	𭤰
无	無 𠑶
旡	𠘸
既	旣
旣	既
旤	禍
日	𡆸
旦	蛋
旧	舊
旨	𠩊 𠮛 𣅌 𤮻
旪	協
旬	𠣙 𠣡
旭	旯
旮	旭
旯	旭
旳	嶩
时	旹 時
旷	曠
旸	暘
旹	时 時
旾	春
昂	昻
昆	崑
昇	升
昉	昞
昌	冐
明	朙
昏	昬 𣄼 𣄾
昒	㫚
易	易
昙	曇
昚	愼
昜	陽 𠃓
昝	偺 喒
昞	昉
星	曐 皨 𠻖 𤽛
映	暎
春	旾 萅 𣈤 𦸬
昧	𣆜
昪	忭
昬	昏
是	昰 𣆞
昰	夏 是
昵	暱
昶	暢
昷	𥁕
昻	昂
昼	晝
昽	曨
显	顯
昿	曠
晁	朝
時	时 旹
晃	晄
晄	晃
晅	烜
晉	晋 𣈆
晋	㬜 晉
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
晚	晩 𣆛
晛	𬀪
晝	昼
晡	𣇀
晢	晰
晤	𣅎
晨	𠔹
晩	晚
晰	晢 晳
晳	晰
晴	晴
智	𥏼
暁	曉
暂	暫
暅	𣈶
暈	晕
暉	晖
暊	𮲟
暋	忞 敃
暎	映
暐	𬀩
暖	娠 煖
暗	晻 闇
暘	旸
暟	𬀱
暠	皜 𣉞
暢	畅
暣	𣅠
暦	曆
暧	曖
暨	曁
暫	暂
暱	昵
暴	虣 暴 𣋴
暸	瞭
曁	屆 暨 𠕨 𦤌
曄	晔 曅
曅	曄
曆	历 厤 歴 歷 𢍷
曇	昙
曉	晓 暁
曊	𪰶
曏	向
曐	星
曖	暧 瞹
曜	燿 耀 𣇪 𤒂 𮲝
曠	旷 昿 𣊥
曡	叠 疊
曥	𣆐
曨	昽
曬	㬠 晒
曭	𭧋
曮	𰖈
曲	麯 麴
曳	拽 曵
更	㪅 更
曵	曳
曶	㫚
書	书
曹	曺
曼	㬅
曽	曾
曾	曽
最	冣 𣤜
朁	㬱 參
朂	勗
會	㞧 㣛 会 𠃐 𣌭 𣥈
有	
朌	頒
服	𣍞 𦨈
朏	𣍧
朐	胊 鴝 鸜
朔	𣍮
朕	𦩎
朖	朗
朗	脼 朗 𥇑
朙	明
望	朢 𦣠
朝	晁
朞	期 稘 𣇳 𣍡 𥟝
期	朞 逞 𠔸 𣅆
朢	望
朥	𦛨
朦	矇 蒙
朧	矓 胧
朩	等
本	㮺 夲 楍 𡴡
札	箚
朮	术
术	朮 術
朱	硃
朳	杷
朴	樸
朵	㙐 朶
朶	朵
朸	扐
朹	簋
机	機
朻	𣎹
朿	莿
杀	殺
杂	雜
权	權
杆	桿
杇	圬
杍	李
李	杍 李
村	邨
杓	捉
杝	柂
杠	槓
条	條
来	來
杧	芒
杨	楊
杩	榪
杯	盃 𠤯
杰	傑
東	东
杴	𣞘
杷	朳
杸	殳
松	㮤 庺 枩 梥 鬆
板	版 闆
枀	松
极	極
构	構
枉	𣒈
枏	楠
析	𣂔
枕	𣏝
林	林
枚	散
果	菓
枞	樅
枢	樞
枣	棗
枥	櫪
枧	梘
枨	棖
枩	松
枪	槍
枫	楓
枬	楠
枭	梟
枱	儓 檯
枲	葈
枴	拐
架	榢
枾	柹 柿 𣐈
柁	舵
柂	杝
柄	棅
柆	拉
柈	盤
柏	孛 栢
某	厶 梅
柒	七 漆
柙	㘡
柚	櫾
柜	櫃
柠	檸
查	査
柩	柾
柬	𥳑
柰	㮏 奈
柳	丣 栁 檉 𣓠
柴	茈 𡍥
柵	栅
柹	枾
柺	拐 枴
査	查
柽	檉
柾	柩
柿	枾
栀	梔
栁	柳
栄	榮
栅	柵
标	標 檁
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栒	簨
栖	棲
栗	㮚 慄 慄 𣡷 𣡼
栛	荔
栝	檜
校	𤲽 𨬛
栢	孛 柏
栰	筏
样	樣
核	覈 𣝗
栽	㘽 𥯒
栾	欒
桀	㘶
桁	航
桌	棹
桑	桒 𠭌 𣕐
桒	桑
桜	櫻
桝	枡
桟	棧
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
桪	樳
桮	杯
桱	𣐕
桹	樃
桼	㯃 漆 𢒡
桿	杆
梁	樑 渿 梁 𣹷
梅	某 楳 槑
梐	㯇
梔	栀
梖	𪱷
梘	枧
梜	𬂩
條	条 糶
梟	枭 鴞
梥	松
梦	夢
梨	棃 梨
梲	棁 棳
梳	㧧
梹	檳
梼	檮
梾	棶
梿	槤
检	檢
棁	梲
棂	欞
棃	梨
棄	弃 𢍞 𨓋
棅	柄
棆	𰗖
棊	棋 碁
棋	棊 碁
棐	榧
棑	篺
棓	㯁
棕	㯶 椶
棖	枨
棗	枣 𠂲
棟	栋
棡	㭎
棥	樊
棧	栈 桟
森	㮱
棰	槌
棱	楞 稜
棲	栖
棳	梲
棶	梾
棹	卓 掉 桌 櫂
棺	𣑄
椀	盌 碗
椁	槨
椎	槌
椏	桠
椒	茭 𣓙
椘	楚
椚	𭩛
検	檢
椝	槼
椟	櫝
椠	槧
椢	槶
椤	欏
椫	樿
椭	橢
椮	槮
椰	㭨
椲	㭏
椶	棕
椹	葚
椾	牋
楂	揸 查 槎
楇	𣒌
楊	杨
楍	本
楎	𰗢
楓	枫
楕	橢
楘	𨎸
楙	茂
楚	椘 檚 𣕪
楜	胡
楞	棱 稜
楠	枏 枬
楡	榆
楥	楦
楦	楥
楨	桢
楫	檝 艥
業	业 𤎸 𤑽
楳	梅
極	极
楷	𣗀
楼	樓
楽	樂
概	槩 槪
榄	欖
榅	榲
榆	楡
榇	櫬
榈	櫚
榉	櫸
榎	檟
榘	矩
榛	㰉 亲
榝	樧 𬂮
榢	架
榦	乾 干
榧	棐
榨	酢 醡
榪	杩
榫	㔼
榮	荣
榯	𰗨
榲	榅
榴	橊
榿	桤
槀	稿 藁
槅	核
槇	槙
槊	鎙
構	构
槌	棰 椎
槍	枪
槎	楂
槏	廉
槑	梅
槓	杠 篢
槖	橐
様	樣
槙	槇
槚	檟
槛	檻
槜	檇
槟	檳
槠	櫧
槤	梿
槧	椠
槨	椁
槩	㮣 概
槪	㮣
槫	𣏢
槭	㰗
槮	椮 𣟹
槳	桨
槶	椢
槹	𣓌
槻	規 𬃀
槼	椝
樁	桩
樂	乐 樂
樃	桹
樅	枞
樊	棥
樐	㯭 櫓 艪
樑	梁
樓	廔 楼 樓
樘	𣛟
標	标
樚	轆
樞	枢
樠	𣗊
樢	㭤
樣	样 様
樤	𣔌
樧	榝
権	權
横	橫
樫	㭴
樯	檣
樱	櫻
樲	𬃘
樳	桪
樷	叢
樸	朴
樹	树 𡬾 𣕒 𣚤
樺	桦
樻	匱 櫃 𭫀
樽	墫 罇
樿	椫
橃	𭩰
橅	𬂠
橆	無
橇	䢪 鞒 鞽
橈	桡
橊	榴
橋	桥
橐	槖 𡇈
橑	𣟆
橓	蕣
橚	𰗹
橛	橜
橜	橛
機	机
橢	椭 楕
橥	櫫
橦	幢
橨	𰗺
橫	横
橯	𣓿
橱	櫥
橹	櫓
橼	櫞
檁	标 檩
檂	𬂰
檇	槜
檉	柳 柽
檋	𰘈
檐	簷
檒	風 𮨴
檔	档 欓
檗	蘖 蘗
檘	蘗
檚	楚
檛	簻 𭪆
檜	栝 桧
檝	楫 艥
檟	斝 榎 槚
檠	𢐧
檡	𰗛
檢	检 検
檣	樯 艢
檥	𭩚
檩	檁
檭	𣘴
檮	梼
檯	儓 台 枱
檰	𰘣
檲	𣑝
檳	㯽 梹 槟
檴	穫
檵	𪲛
檶	奩
檸	柠
檻	槛
檼	櫽
檾	䔛 𰘓
檿	𰗜
櫂	掉 棹
櫃	匱 柜 樻 鐀 饋
櫅	𪲎
櫈	凳
櫉	櫥
櫌	耰
櫍	𬃊
櫎	𰗓
櫏	𰗬
櫓	㯭 樐 橹 艪 櫓
櫚	榈
櫛	栉
櫝	匵 椟
櫞	橼
櫟	栎
櫠	𪲮
櫢	𰘸
櫥	橱 櫉
櫦	𮲲
櫧	槠
櫨	栌
櫩	𰘠
櫪	枥
櫫	橥
櫬	榇
櫯	𰘶
櫱	蘖 𣎴
櫳	㰍 栊
櫴	𰘳
櫶	𬃫
櫸	榉
櫹	𰘩
櫺	欞
櫻	樱 蘡
櫽	檼 𬄩
櫾	柚 𣠡
欃	𣝊
欄	栏 欄
欅	榉
欆	𮲮
欇	𪳍
權	权 権
欍	𣐤
欏	椤
欐	𪲔
欑	𪴙
欒	栾 灤
欓	檔 𣗋
欖	㰖 榄
欘	𣚚
欝	鬱
欞	棂 櫺
欠	缺 𣣓
次	𠕞 𠤣 𦮏
欢	懽 歡
欣	忻
欤	歟
欧	歐
欬	咳 𤸺
欲	慾
欵	款
欶	𠲿
欸	唉
欹	猗
欼	啜 歠
欽	钦 𣣽
款	欵 𣢾
歃	㰱
歄	𬅥
歈	𣤏
歉	欠
歌	可 哥 謌
歍	𰙋
歎	叹 嘆
歐	欧
歓	歡
歕	呠 噴 𬅫
歖	喜
歗	嘯 𰙑
歛	斂 𰙎
歞	𪴯
歟	欤
歠	啜 欼
歡	懽 欢 驩 𧆒
止	只
正	㱏 𣥔 𤴓 𧾸
歧	岐 𨙸
歩	步
歬	前
歯	齒
歱	踵
歲	亗 岁 嵗 歳 𡻕 𢧁
歳	歲
歴	曆 歷
歷	历 曆 歴 𡿌
歸	䢜 帰 归 𤾤
歹	歺 𡰮 𣦵 𣦶
歺	歹
死	𠑾 𣥴
歼	殲
歾	沒
歿	殁 沒
殀	夭
殁	歿
殂	𡲂 𡲡 𣧫 𣨐 𣨖
殃	䄃 𥙏
殄	𠂈 𣦺 𣧢
殇	殤
殉	侚 狥
残	殘
殍	莩 𣨈
殒	殞 隕
殓	殮
殘	残
殚	殫
殜	𣩣 𣩨
殞	殒 隕
殡	殯
殢	𣨼
殤	殇
殨	㱮
殪	𣨑 𣩉
殫	殚
殭	僵
殮	殓
殯	殡
殰	㱩 𦢌
殱	殲
殲	歼 𣨦
殳	杸
殴	毆
段	𠩻
殸	聲
殺	杀 煞 殺 𢁛 𢼡 𢽅 𢽆 𢿔 𢿹 𧤿
殻	壳 殼
殼	㱿 壳 殻
殽	淆
毀	毁 𢾌 𣪷
毁	毀 燬 譭
毂	轂
毄	𬆦
毆	殴
毉	瑿 醫
毊	𪵑
毎	每
每	毎 𣫭
毐	娭
毑	姐
毒	𦸕 𧉉
毓	育
比	夶 𣬅
毕	畢
毗	毘
毘	毗
毙	斃
毚	𫥎
毡	氈 氊
毧	㲓
毫	𡨉
毬	球
毵	毿
毶	𣯶
毼	𣭸
毿	毵 𣯺
氀	𣰝 𰚦
氂	牦 犛
氅	鷩
氇	氌
氈	毡 氊
氊	毡 氈
氌	氇
氎	𣰸
氏	厥
氐	𢎮
民	𠘽
氒	厥
氓	甿 𣱅
气	氣
気	氣
氙	氥
氛	𣱦
氜	阳 陽
氡	氭
氢	氫
氣	气 気 炁 𣱛
氤	絪
氥	氙
氩	氬
氫	氢
氬	氩
氭	氡 𣱝
氯	綠
氲	氳
氳	氲
水	氵
氵	水
氷	冫 冰
氼	溺
氽	尿
氾	泛
求	裘
汅	沔
汇	匯 彙
汉	漢
汎	泛
汏	𡊌
汓	游 遊
汙	汚 污 洿
汚	汙 污 洿
污	汙 𣽏
汤	湯
汨	汩 淿
汩	汨
汫	阱
汬	阱
汶	渂
汹	洶
決	决
沄	澐
沅	源
沇	沿
沈	沉 瀋
沉	沈 瀋
沍	冱
沒	歾 歿 没 𣇶
沔	汅
沖	冲 盅
沙	砂
沜	泮
沟	溝
没	沒
沢	澤
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沨	渢
沩	溈 潙
沪	冱 滬 濾
沬	湏
沱	沲
沲	沱
沵	濔
沸	㵒
治	乿
沽	夃
沾	霑
沿	沇
況	况 𡶢
泄	洩 渫
泉	洤
泊	泺
法	佱 灋 𣳴
泖	茅
泙	洴
泛	氾 汎
泝	溯 遡
泞	濘
泡	箔
泥	坭 泥 𡌰
注	註
泪	淚
泮	沜
泰	夳
泲	濟
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洌	冽
洒	灑
洓	漬
洚	洪
洛	洜 洛
洜	洛
洞	峒
洟	涕 𪖦
洤	泉
津	𣸁 𦩏 𦩦 𦩨 𦪉 𨔥
洩	泄 渫
洪	洚
洮	𣴧
洴	泙
洶	汹 𣶑
洼	窪
洿	汙 汚
流	㳅 流
浃	浹
浄	淨
浅	淺
浆	漿
浇	澆
浈	湞
浉	溮
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
浕	濜
浚	濬
浜	濱
浣	澣
浧	澄
浩	澔
浪	浪
浸	𥧲
浹	浃
浼	凂 潣
浿	𬇙
涂	塗
涅	湼
涇	泾
消	㴅
涉	㴇 渉 𣥿
涌	湧
涎	㳄 𣳧
涓	㳙
涕	䶏 洟
涖	莅 蒞
涗	涚
涙	淚
涚	涗
涛	濤
涜	瀆
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涢	溳
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
涶	唾
涷	𰛒
涸	凅
涼	凉 鿌 凉
淀	澱
淆	殽
淊	淹
淋	淋
淒	凄
淚	㴃 泪 淚
淜	漰 馮
淡	澹
淢	𣴤
淥	渌
淨	净 凈
淩	凌
淪	沦
淫	㸒 婬
淬	㳃
深	𣸧
淳	湻 𤂸
淵	囦 渊 𠝃 𣶒
淶	涞
淸	清 𠗜
淹	淊 渰
淺	浅
淾	飮
淿	汨
渂	汶
清	淸
渇	渴
済	濟
渉	涉
渊	淵
渋	澀
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渓	溪
渔	漁
渕	淵
渖	瀋
渗	滲
渙	涣
渚	陼
減	减
渜	湪
渢	沨
渦	涡
渨	偎 隈
温	溫
渫	泄 洩
測	测
渰	淹
渴	渇 𣊅
游	㳺 汓 逰 遊
渹	訇 𢕐 𥔀
渾	浑
渿	梁
湊	凑
湋	𣲗
湌	飡 餐
湏	沬 須
湑	醑
湙	㴒
湛	㴴
湞	浈
湟	況
湧	涌
湪	渜
湫	湬
湬	湫
湯	汤
湻	淳
湼	涅
湾	灣
湿	溼 濕
満	滿
溁	濚
溃	潰
溅	濺
溆	漵
溇	漊
溈	沩 潙
溉	摡 漑
溌	潑
源	厵
準	准 凖
溜	溜
溝	沟
溞	叜
溡	𪶄
溤	馮 𰛊
溪	渓
溫	温
溬	㳾
溮	浉
溯	㴑 泝 遡
溰	𰛥
溳	涢
溸	㴑
溺	㲻 尿 氼 𡲳
溻	褟
溼	湿 濕
溽	縟
滄	沧 𣳁 𣶟
滅	灭 烕 𢦹 𣹹
滆	𣽐
滋	𣳯 𦱳
滌	涤
滎	荥
滑	磆
滗	潷
滙	匯 汇
滚	滾
滝	瀧
滞	滯
滟	灔 灧 灩
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
滬	沪
滭	𰛡
滯	滞
滲	㵕 渗
滷	卤 𰛮
滸	浒
滺	悠
滻	浐
滾	滚 菌 𣽙
滿	满 𡈪
漁	䱷 渔
漆	㯃 柒 桼 𣴶
漇	𢳜
漊	溇
漍	𬇹
漎	潨 𰛏
漏	漏
漐	𰛣
漑	溉
漓	灕
漙	𬇘
漚	沤
漢	㵄 汉 𣶔
漣	涟
漧	乾
漫	澷
漬	洓 渍
漰	淜
漱	潄
漲	涨
漵	溆
漸	渐
漻	𣽓
漾	瀁
漿	浆 𤕯
潀	潨
潁	颍
潅	灌
潆	瀠
潇	瀟
潋	瀲
潍	濰
潑	泼 溌
潔	洁
潕	𣲘
潙	沩 溈
潚	㴋
潛	潜
潜	潛
潝	㴔
潣	浼 𫞗
潤	润
潦	澇
潨	漎 潀
潬	灘 𬈁
潯	浔
潰	溃
潴	瀦
潷	滗
潸	𣽽
潹	潺
潺	潹
潿	涠
澀	涩 澁 濇 瀒 𣹣
澁	澀 濇
澄	浧 澂
澅	𣶩
澆	浇
澇	涝 潦
澈	徹
澐	沄
澑	溜
澒	𭱊
澔	浩
澕	𮳆
澖	𰛵
澗	涧 磵
澙	潟
澛	瀂
澜	瀾
澠	渑
澢	𭰎
澣	浣
澤	㚖 沢 泽
澦	滪
澩	泶
澫	𬇕
澬	𫞚
澮	巜 浍 𣲸 𣴯
澰	𰛲
澱	淀
澳	襖 𥜌
澷	漫
澹	淡
澾	㳠
濁	浊
濃	浓
濄	㳡
濆	𣸣
濇	澀 澁 瀒 𬈧
濊	𰛦
濑	瀨
濒	瀕
濔	沵
濕	湿 溼 𦒣
濘	泞
濚	溁
濛	蒙 霥 靀
濜	浕
濟	㴉 泲 济
濤	涛
濧	㳔
濫	滥
濬	䜭 浚 𣽊
濰	潍
濱	滨 濵 瀕 𣴩 𨽗 𩔤
濳	潛
濴	𬈜
濵	濱 瀕
濶	闊
濺	溅
濼	泊 泺
濽	灒
濾	滤 濾
濿	砅 𪵱
瀁	漾 𰜝
瀂	澛
瀃	𣽷
瀄	𰛤
瀅	滢
瀆	渎
瀇	㲿
瀈	𰝍
瀉	泻
瀋	沈 渖
瀏	浏
瀐	瀸
瀒	澀 濇
瀕	濒 濱 濵
瀗	𮳏
瀘	泸
瀙	𰜜
瀝	沥
瀟	潇
瀠	潆
瀢	𬉋
瀦	潴
瀧	泷
瀨	濑 瀬
瀬	瀨
瀭	𮳗
瀯	𰝅
瀰	㳽 弥 彌
瀲	潋
瀳	𰜨
瀴	𰜳
瀵	𬉂
瀸	瀐
瀺	𤀧
瀾	澜
灃	沣
灄	滠
灊	𤄵
灋	法
灌	潅
灍	𫞝
灎	灔
灏	灝
灑	洒 𣶇
灒	濽 𪷽
灓	𰛪
灔	灎 灩
灕	漓
灘	滩 潬 𤁤
灙	𣺼
灝	灏
灟	𭲫
灠	𤂺 𰜐
灡	㳕 𬉠
灣	湾
灤	滦
灦	𰝤
灧	滟 灔 灩
灩	滟 灧
火	灬 𤆄
灬	火
灭	滅
灮	光
灯	燈
灰	灰
灴	烘
灵	靈
灶	竈
灹	燠
灼	烵
災	灾 烖 菑 𤆎 𦸜
灾	災 烖 菑
灿	燦
炀	煬
炁	氣
